accession,name,monoisotopic_mass,formula
HMDB0283665,"PS(24:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18))",909.609499656,C50H88NO11P
HMDB0283666,"PS(20:5(5Z,8Z,11Z,14Z,16E)-OH(18)/24:0)",909.609499656,C50H88NO11P
HMDB0283667,"PS(24:0/20:5(5Z,8Z,10E,14Z,17Z)-OH(12))",909.609499656,C50H88NO11P
HMDB0283668,"PS(20:5(5Z,8Z,10E,14Z,17Z)-OH(12)/24:0)",909.609499656,C50H88NO11P
HMDB0283669,"PS(24:0/20:5(6E,8Z,11Z,14Z,17Z)-OH(5))",909.609499656,C50H88NO11P
HMDB0283670,"PS(20:5(6E,8Z,11Z,14Z,17Z)-OH(5)/24:0)",909.609499656,C50H88NO11P
HMDB0283671,"PS(24:0/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))",951.62006434,C52H90NO12P
HMDB0283672,"PS(22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S)/24:0)",951.62006434,C52H90NO12P
HMDB0283673,"PS(24:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))",941.599328896,C50H88NO13P
HMDB0283674,"PS(20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15)/24:0)",941.599328896,C50H88NO13P
HMDB0283675,"PS(24:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S))",927.62006434,C50H90NO12P
HMDB0283676,"PS(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/24:0)",927.62006434,C50H90NO12P
HMDB0283677,"PS(24:0/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R))",927.62006434,C50H90NO12P
HMDB0283678,"PS(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/24:0)",927.62006434,C50H90NO12P
HMDB0283679,"PS(24:0/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))",935.62514972,C52H90NO11P
HMDB0283680,"PS(22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4)/24:0)",935.62514972,C52H90NO11P
HMDB0283681,"PS(24:0/22:6(4Z,8Z,10Z,13Z,16Z,19Z)-OH(7))",935.62514972,C52H90NO11P
HMDB0283682,"PS(22:6(4Z,8Z,10Z,13Z,16Z,19Z)-OH(7)/24:0)",935.62514972,C52H90NO11P
HMDB0283683,"PS(24:0/22:6(4Z,7Z,10Z,12E,16Z,19Z)-OH(14))",935.62514972,C52H90NO11P
HMDB0283684,"PS(22:6(4Z,7Z,10Z,12E,16Z,19Z)-OH(14)/24:0)",935.62514972,C52H90NO11P
HMDB0283685,"PS(24:0/22:6(4Z,7Z,10Z,13E,15E,19Z)-OH(17))",935.62514972,C52H90NO11P
HMDB0283686,"PS(22:6(4Z,7Z,10Z,13E,15E,19Z)-OH(17)/24:0)",935.62514972,C52H90NO11P
HMDB0283687,"PS(24:0/22:6(4Z,7Z,11E,13Z,15E,19Z)-2OH(10S,17))",951.62006434,C52H90NO12P
HMDB0283688,"PS(22:6(4Z,7Z,11E,13Z,15E,19Z)-2OH(10S,17)/24:0)",951.62006434,C52H90NO12P
HMDB0283689,"PS(24:0/22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17))",935.62514972,C52H90NO11P
HMDB0283690,"PS(22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17)/24:0)",935.62514972,C52H90NO11P
HMDB0283691,"PS(24:0/18:3(10,12,15)-OH(9))",885.609499656,C48H88NO11P
HMDB0283692,"PS(18:3(10,12,15)-OH(9)/24:0)",885.609499656,C48H88NO11P
HMDB0283693,"PS(24:0/18:3(9,11,15)-OH(13))",885.609499656,C48H88NO11P
