ID,IGF_1_1_1_Met_PB_06_12_20,IGF_1_2_1_Met_PB_06_12_20,IGF_1_3_1_Met_PB_06_12_20,QC1,QC2,Rapamycin_1_1_Met_PB_6_12_20,Rapamycin_2_1_Met_PB_6_12_20,Rapamycin_3_1_Met_PB_6_12_20,V__Control_1_1_Met_PB_6_12_20,V__Control_2_1_Met_PB_6_12_20,V__Control_3_1_Met_PB_6_12_20
FT0104,4.55435781016852,4.41424863534142,4.47295456728634,4.44119682250563,4.41973193458331,4.41678369824516,4.46150899508585,4.53819715997566,4.48095176394085,4.52692319625018,4.32626196904152
FT0105,4.51277523311444,4.27101196951503,4.57294759372512,4.64645877036825,4.60312872792406,4.45569583402721,4.54437494303379,5.51944476317591,4.59284415161029,4.78258253528615,4.39874546891691
FT0106,4.17076337180138,4.12478932649478,4.27200564513945,4.40955126023001,4.38042625160547,4.4044526809582,4.28601952025465,4.81876719130898,4.6193345477839,4.45858254015757,4.44488151571258
FT0107,5.28871360186397,5.15669730150752,5.17529313209622,5.34096288923061,5.30937499831557,5.41505242339219,5.18910760914797,,5.32948907621983,5.34441260817245,5.27092280492695
FT0108,5.14705668180337,5.06624025230986,5.10727940044131,5.2399667688755,5.27631345901497,5.23802076875459,5.11067613046817,5.74373791646144,5.23478875994376,5.24589731904294,5.12941900419494
FT0109,4.28193583850346,4.19611396625283,4.20821713935337,4.21249409116058,4.35677772115831,4.41146579498505,4.35655249837933,2.87322491441586,4.32561734595519,4.43154374991181,4.35406755359248
FT0110,4.48863608645625,4.37290272247799,4.48702163317269,4.67332794714467,4.69892619944547,4.64899419390361,4.64086887173018,4.57568557826238,4.72702545644609,4.81949011643512,4.60688672300607
FT0111,3.37816948026059,3.36296834425442,3.51153064694083,3.95908067854612,3.7445684646143,3.27398569010172,3.00292478660611,3.27559551910265,4.14811645353504,3.76353196329673,2.52191438077236
FT0112,4.84615519451974,4.40988895536825,4.62748347763443,4.81603142819873,4.79987294294557,4.80351603657598,4.65003046907053,5.23629714466436,4.891118114683,4.81992778831388,4.71439678537579
FT0113,4.48800407267622,4.37884084914163,4.41383910036964,4.55667134890838,4.62136651553261,4.48077700077724,4.72469472535497,5.23468180121262,4.68778794991903,4.71802890670306,4.64588147976627
FT0114,4.65085953256793,4.49872906675255,4.60528411097425,4.72723117346947,4.75579253434775,4.81721973355905,4.6723712492034,5.30011422304548,4.76613116295459,4.79355690694205,4.70011890362635
FT0115,4.45182517292022,4.25497304922585,4.31819070471455,4.55536747619251,4.4666800764647,4.54013746331889,4.47648482408281,3.66548766106823,4.51492358988328,4.5084826997308,4.40933833090072
FT0116,4.70471515763636,4.61171322509438,4.7842396756178,4.73620535204313,4.70263003784132,4.65600292509243,4.70564839990763,4.89630211519709,4.67736442855076,4.89994722031172,4.73031334974384
FT0117,3.82328056155648,2.6327632401344,3.35971465312592,4.01735534446747,4.08108439406445,4.04675755418242,3.86020226232643,5.26426274166905,4.08507029216812,4.12046622580574,3.76740202989202
FT0118,6.24883037880313,6.14406899215296,5.8888928971795,6.12316419984714,6.13327410058608,6.08943285657586,6.1020218931543,6.11671633096554,6.20245109776103,6.23975081754338,5.8495678831717
FT0119,5.04475159425735,5.00107600605689,5.01760619266509,5.12905829461295,5.15935020973962,5.15056281129366,5.15906541789839,6.04271835697059,5.12175464258452,5.19987484651254,4.94758565639073
FT0120,5.04832402890557,4.90152930118672,4.9994636665151,5.15028422586271,5.13989548489229,5.18101804416324,4.98022707208714,5.1995993649397,5.13681206428695,5.16068741475948,5.08374387338456
FT0121,4.88757298407168,4.80219069047783,4.51918278629313,4.78179848266567,4.8020977547434,4.7512444309983,4.76606706349004,4.57809294305831,4.83691662037676,4.88281963853261,4.50190264641537
FT0122,3.64685558499998,3.15613537762221,3.26917674958703,3.86637132792439,4.04931585307738,3.88435616530933,3.84813634248996,5.18210989398682,4.03044968936221,4.05171280064301,3.74019012477805
FT0123,4.32979478936547,4.16488179204232,4.09451316318771,4.37696285021754,4.40676263752154,4.23363025385747,4.5232394278208,4.73828043135607,4.10533785231603,4.65848898244976,4.23718051402122
FT0124,5.1010589438267,5.01070404495193,4.75907447481094,5.01123327245781,5.01680026592262,4.97964052662816,4.99204266084192,4.87646324169711,5.06649229794403,5.10743169715197,4.71841327533078
FT0125,5.03386922165825,4.88095282053579,5.0203627150654,4.98282933413742,5.01323442527807,4.99438220514089,4.98205934375572,3.95967529261179,4.9458513668061,5.0557117266138,4.96653689169052
FT0126,4.78586917442909,4.569329474228,4.6584531958222,4.76892484381233,4.72233194270344,4.78020304145528,4.62424636471393,5.20703248164809,4.95763078259126,4.74287090391077,4.68842569882091
FT0127,4.66954839831506,4.34745554284698,4.49693594534569,4.85476695835074,4.69959462615996,4.79019840585446,4.54937459201484,5.12085938987519,4.70676518820809,4.73473891905847,4.6474847650472
FT0128,4.11470682531695,4.34300241413389,4.28900247443792,4.90974905189007,3.98467294426939,4.26358504910029,4.40677886176075,4.18077310948147,4.59277175306977,4.16359458975896,4.02375934437011
FT0129,4.33026841384876,4.34528125348251,4.39263700057627,5.10257018373962,4.27748626218465,4.34667118302755,4.42670907292039,5.40679493079866,4.72707066843444,4.42198230447007,4.39551341054275
FT0130,4.98777627226135,4.85691981398882,4.95078635935208,4.96942311085715,4.92258053449745,4.81698461383187,4.77512166735884,4.45722518721867,4.96699144155113,5.00636326543538,4.88441553480107
